iter	Passed	Remaining
465	845	969
466	853	973
467	855	972
468	857	971
469	859	969
470	862	968
471	865	967
472	867	966
473	870	965
474	872	964
475	879	967
476	881	966
477	882	964
478	887	964
479	888	962
480	894	964
481	896	963
482	898	961
483	900	959
484	902	958
485	903	955
486	904	952
487	910	954
488	913	954
489	914	952
490	916	949
491	917	947
492	918	944
493	919	941
494	920	939
495	923	938
496	926	937
497	927	935
498	929	932
499	930	930
500	931	927
501	932	924
502	936	925
503	938	923
504	940	922
505	941	919
506	942	916
507	943	913
508	944	911
509	945	908
510	946	905
511	947	902
512	947	899
513	949	897
514	951	896
515	953	894
516	955	892
517	956	889
518	957	887
519	957	884
520	958	881
521	959	878
522	960	875
523	960	872
524	961	870
525	962	867
526	965	866
527	967	864
528	968	862
529	969	860
530	971	857
531	971	854
532	972	852
533	973	849
534	974	846
535	974	843
536	975	841
537	976	838
538	976	835
539	978	833
540	980	832
541	982	830
542	983	827
543	984	825
544	985	822
545	986	820
546	987	817
547	988	815
548	989	812
549	990	810
550	990	807
551	991	804
552	994	803
553	996	802
554	998	800
555	999	798
556	1000	795
557	1001	793
558	1002	790
559	1003	788
560	1004	785
561	1004	783
562	1005	780
563	1006	778
564	1008	776
565	1009	774
566	1011	772
567	1012	770
568	1013	767
569	1014	765
570	1015	763
571	1016	760
572	1017	758
573	1018	755
574	1019	753
575	1020	750
576	1020	748
577	1021	746
578	1023	744
579	1026	743
580	1027	741
581	1028	738
582	1029	736
583	1030	734
584	1031	731
585	1031	729
586	1032	726
587	1033	724
588	1034	721
589	1035	719
590	1036	717
591	1036	714
592	1038	712
593	1040	710
594	1041	708
595	1043	707
596	1044	705
597	1045	702
598	1046	700
599	1047	698
600	1048	695
601	1049	693
602	1050	691
603	1051	689
604	1053	687
605	1055	686
606	1056	684
607	1058	682
608	1059	680
609	1060	678
610	1061	675
611	1063	674
612	1064	671
613	1065	669
614	1066	667
615	1067	665
616	1069	664
617	1071	662
618	1073	660
619	1074	658
620	1075	656
621	1077	654
622	1078	652
623	1079	650
624	1080	648
625	1081	646
626	1082	643
627	1085	642
628	1086	640
629	1088	639
630	1090	637
631	1091	635
632	1092	633
633	1093	631
634	1094	628
635	1094	626
636	1095	624
637	1096	622
638	1099	620
639	1100	619
640	1101	617
641	1103	615
642	1104	613
643	1105	611
644	1106	609
645	1107	606
646	1108	604
647	1108	602
648	1109	600
649	1110	597
650	1111	595
651	1112	593
652	1114	592
653	1115	590
654	1117	588
655	1118	586
656	1119	584
657	1120	582
658	1120	580
659	1121	577
660	1122	575
661	1123	573
662	1123	571
663	1124	569
664	1125	566
665	1126	564
666	1127	563
667	1129	561
668	1130	559
669	1132	557
670	1133	555
671	1134	553
672	1135	551
673	1136	549
674	1137	547
675	1138	545
676	1138	543
677	1139	541
678	1140	539
679	1141	537
680	1143	535
681	1144	533
682	1146	532
683	1147	530
684	1149	528
685	1150	526
686	1151	524
687	1152	522
688	1152	520
689	1153	518
690	1154	516
691	1154	514
692	1155	511
693	1157	510
694	1159	508
695	1160	507
696	1162	505
697	1163	503
698	1164	501
699	1165	499
700	1165	497
701	1166	495
702	1167	493
703	1168	491
704	1169	489
705	1169	487
706	1170	485
707	1171	483
708	1173	481
709	1175	480
710	1176	478
711	1177	476
712	1179	474
713	1180	472
714	1180	470
715	1181	468
716	1182	466
717	1182	464
718	1183	462
719	1184	460
720	1184	458
721	1185	456
722	1187	455
723	1189	453
724	1191	451
725	1207	455
726	1208	453
727	1209	451
728	1210	450
729	1211	448
730	1212	446
731	1212	444
732	1213	442
733	1214	440
734	1215	438
735	1215	436
736	1216	434
737	1217	432
738	1219	430
739	1221	429
740	1222	427
741	1223	425
742	1225	423
743	1226	422
744	1228	420
745	1229	418
746	1231	416
747	1233	415
748	1237	414
749	1239	413
750	1240	411
751	1241	409
752	1242	407
753	1243	405
754	1243	403
755	1244	401
756	1245	399
757	1246	398
758	1248	396
759	1252	395
760	1253	393
761	1254	391
762	1255	389
763	1256	388
764	1257	386
765	1257	384
766	1258	382
767	1259	380
768	1260	378
769	1261	376
